Id_bat,Position_bat,Nickname_bat,FPPG_bat,Salary_bat,Team_bat,Batting Order,bats,Roll_PA_bat,Roll_HR_bat,Roll_GB/FB_bat,Roll_BB%_bat,Roll_K%_bat,Roll_GB%_bat,Roll_FB%_bat,Roll_ISO_bat,Roll_wRC+_bat,throws,Roll_ERA_pitch,Roll_FB%_pitch,Roll_GB%_pitch,Roll_LOB%_pitch,Roll_K%_pitch,Roll_K-BB%_pitch,Roll_ER_pitch,Roll_IP_pitch,Roll_SO_pitch,Roll_HR_pitch,Roll_x FIP_pitch,Roll_WHIP_pitch,Team_FD,1B as L,1B as R,2B as L,2B as R,3B as L,3B as R,HR as L,HR as R,Bats_L,Bats_R,Throw_L,Throw_R,Matchup
27318-5032,1B,Adrian Gonzalez,6.962962963,2000,NYM,,L,3.571428571428572,0.0,1.857142857142857,0.0357142857142857,0.19047619028571447,0.5595238094285718,0.2857142857142857,0.04761904757142848,-20.535266179999827,R,3.7147,0.38315469671428587,0.4627520861428572,0.7814,0.29367142857142875,0.1972999999999999,2.4285714285714284,5.342857142857143,6.428571428571429,0.7142857142857143,3.7056599871428597,1.1596571428571412,NYM,94,96,97,95,89,82,99,98,1,0,0,1,1
27318-70572,2B,Ty Kelly,1.022222201,2000,NYM,,S,3.571428571428572,0.14285714285714285,1.0,0.03571428571428575,0.33333333314285724,0.4642857142857141,0.2857142857142857,0.10714285714285712,6.99444298000003,R,3.7147,0.38315469671428587,0.4627520861428572,0.7814,0.29367142857142875,0.1972999999999999,2.4285714285714284,5.342857142857143,6.428571428571429,0.7142857142857143,3.7056599871428597,1.1596571428571412,NYM,94,96,97,95,89,82,99,98,0,0,0,1,0
27318-13350,OF,Matt den Dekker,1.1875,2000,NYM,,L,3.8571428571428568,0.0,0.8571428571428571,0.13571428571428573,0.2595238094285713,0.42857142857142855,0.4285714285714285,1.5860328923216518e-17,-3.3191114034285625,R,3.7147,0.38315469671428587,0.4627520861428572,0.7814,0.29367142857142875,0.1972999999999999,2.4285714285714284,5.342857142857143,6.428571428571429,0.7142857142857143,3.7056599871428597,1.1596571428571412,NYM,94,96,97,95,89,82,99,98,1,0,0,1,1
27318-6025,C,Jose Lobaton,3.89999992,2000,NYM,,S,3.571428571428572,0.0,1.8571428571428568,0.0,0.2142857141428572,0.6666666665714286,0.16666666657142848,0.07142857142857151,42.78561078142853,R,3.7147,0.38315469671428587,0.4627520861428572,0.7814,0.29367142857142875,0.1972999999999999,2.4285714285714284,5.342857142857143,6.428571428571429,0.7142857142857143,3.7056599871428597,1.1596571428571412,NYM,94,96,97,95,89,82,99,98,0,0,0,1,0
27318-12968,1B,Paul Goldschmidt,11.98224276,4200,ARI,,R,4.857142857142857,0.14285714285714285,1.1428571428571428,0.14285714285714282,0.24761904757142844,0.3547619045714278,0.42142857128571454,0.121428571428571,120.6840420971429,L,3.2142857142857166,0.3809792334285714,0.4063059431428568,0.8557714285714283,0.22727142857142846,0.09565714285714286,1.8571428571428568,6.014285714285713,5.7142857142857135,0.5714285714285714,4.6767974694285686,1.292942857142857,ARI,101,99,107,106,118,136,104,104,0,1,1,0,1
27318-12970,OF,A.J. Pollock,12.70476229,3700,ARI,,R,4.714285714285714,0.14285714285714285,0.8571428571428569,0.08571428571428583,0.1214285714285719,0.3880952378571426,0.471428571142857,0.1714285714285712,78.98613506285717,L,3.2142857142857166,0.3809792334285714,0.4063059431428568,0.8557714285714283,0.22727142857142846,0.09565714285714286,1.8571428571428568,6.014285714285713,5.7142857142857135,0.5714285714285714,4.6767974694285686,1.292942857142857,ARI,101,99,107,106,118,136,104,104,0,1,1,0,1
27318-13239,3B,Eduardo Escobar,10.79900024,3400,ARI,,S,4.571428571428571,0.14285714285714285,1.2142857142857142,0.20510204071428584,0.1632653060000002,0.4761904759999994,0.3452380949999992,0.28571428571428586,200.5838905128573,L,3.2142857142857166,0.3809792334285714,0.4063059431428568,0.8557714285714283,0.22727142857142846,0.09565714285714286,1.8571428571428568,6.014285714285713,5.7142857142857135,0.5714285714285714,4.6767974694285686,1.292942857142857,ARI,101,99,107,106,118,136,104,104,0,0,1,0,0
27318-21853,2B,Ketel Marte,8.690384498,3200,ARI,,S,4.428571428571429,0.0,1.5,0.16428571428571434,0.09285714285714287,0.5714285712857136,0.29761904742857137,0.07142857142857144,143.2748271845714,L,3.2142857142857166,0.3809792334285714,0.4063059431428568,0.8557714285714283,0.22727142857142846,0.09565714285714286,1.8571428571428568,6.014285714285713,5.7142857142857135,0.5714285714285714,4.6767974694285686,1.292942857142857,ARI,101,99,107,106,118,136,104,104,0,0,1,0,0
27318-21612,SS,Nick Ahmed,8.939604202,3000,ARI,,R,4.285714285714286,0.14285714285714285,1.0,0.03571428571428571,0.21190476185714294,0.28095238085714197,0.2904761904285716,0.2380952381428571,97.04832987914301,L,3.2142857142857166,0.3809792334285714,0.4063059431428568,0.8557714285714283,0.22727142857142846,0.09565714285714286,1.8571428571428568,6.014285714285713,5.7142857142857135,0.5714285714285714,4.6767974694285686,1.292942857142857,ARI,101,99,107,106,118,136,104,104,0,1,1,0,1
27318-38249,OF,Steven Souza Jr.,7.9181814479999995,2700,ARI,,R,4.571428571428571,0.0,0.8571428571428569,0.12142857142857146,0.2571428571428573,0.3095238094285712,0.2976190475714285,0.13095238085714306,157.46711792999986,L,3.2142857142857166,0.3809792334285714,0.4063059431428568,0.8557714285714283,0.22727142857142846,0.09565714285714286,1.8571428571428568,6.014285714285713,5.7142857142857135,0.5714285714285714,4.6767974694285686,1.292942857142857,ARI,101,99,107,106,118,136,104,104,0,1,1,0,1
27318-12660,2B,Daniel Descalso,7.9393939389999995,2600,ARI,,L,3.7142857142857135,0.0,0.7142857142857143,0.3809523808571429,0.07142857142857123,0.3571428571428572,0.2857142857142857,0.0714285714285715,183.88496541800012,L,3.2142857142857166,0.3809792334285714,0.4063059431428568,0.8557714285714283,0.22727142857142846,0.09565714285714286,1.8571428571428568,6.014285714285713,5.7142857142857135,0.5714285714285714,4.6767974694285686,1.292942857142857,ARI,101,99,107,106,118,136,104,104,1,0,1,0,0
27318-11989,OF,Jon Jay,8.972549139,2600,ARI,,L,4.714285714285714,0.14285714285714285,1.4285714285714286,0.028571428571428588,0.08571428571428592,0.3476190475714286,0.2428571427142858,0.17857142857142852,77.70123630857155,L,3.2142857142857166,0.3809792334285714,0.4063059431428568,0.8557714285714283,0.22727142857142846,0.09565714285714286,1.8571428571428568,6.014285714285713,5.7142857142857135,0.5714285714285714,4.6767974694285686,1.292942857142857,ARI,101,99,107,106,118,136,104,104,1,0,1,0,0
27318-5122,C,Alex Avila,4.875,2500,ARI,,L,4.428571428571429,0.2857142857142857,1.1428571428571428,0.15714285714285706,0.2642857142857142,0.4761904760000005,0.2857142855714287,0.33333333328571435,159.1478072222856,L,3.2142857142857166,0.3809792334285714,0.4063059431428568,0.8557714285714283,0.22727142857142846,0.09565714285714286,1.8571428571428568,6.014285714285713,5.7142857142857135,0.5714285714285714,4.6767974694285686,1.292942857142857,ARI,101,99,107,106,118,136,104,104,1,0,1,0,0
27318-13501,OF,Chris Owings,5.634831461,2400,ARI,,R,4.0,0.0,1.2857142857142858,0.035714285714285754,0.20000000000000054,0.4404761902857133,0.17857142842857135,0.0,22.941202503143025,L,3.2142857142857166,0.3809792334285714,0.4063059431428568,0.8557714285714283,0.22727142857142846,0.09565714285714286,1.8571428571428568,6.014285714285713,5.7142857142857135,0.5714285714285714,4.6767974694285686,1.292942857142857,ARI,101,99,107,106,118,136,104,104,0,1,1,0,1
