Batting Order,FPPG,Id,Nickname,Position,Predict,Salary,P,Third,SS,OF,Second,C_First,Util,LAA,BAL,BOS,CWS,CLE,DET,KAN,MIN,NYY,OAK,SEA,TAM,TEX,TOR,ARI,ATL,CHC,CIN,COL,MIA,HOU,LOS,MIL,WAS,NYM,PHI,PIT,STL,SDP,SFG
,9.772277228,27318-13691,Ender Inciarte,OF,7.8134713,3100,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,8.621591047999999,27318-68586,Dansby Swanson,SS,7.2550735,3000,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,7.101388719,27318-13034,Charlie Culberson,2B,9.964797,2600,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.239999962,27318-21166,Michael Reed,OF,8.617874,2200,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2.65,27318-13520,Phil Gosselin,3B,5.7374945,2000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.692424427,27318-13731,Ryan Flaherty,3B,8.049448,2000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.1199999489999986,27318-13851,Danny Santana,OF,8.555268,2000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.2,27318-38593,Lane Adams,OF,11.209074,2000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,9.04479154,27318-60642,Michael Conforto,OF,8.9246435,3400,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,9.551041921,27318-17097,Brandon Nimmo,OF,9.076208,3200,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,8.031944275,27318-5564,Jose Bautista,OF,8.870594,2600,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,6.834653344,27318-68589,Amed Rosario,SS,9.461918,2400,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,4.874603271000001,27318-10977,Austin Jackson,OF,7.6411,2300,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,3.971428413,27318-6130,Jose Reyes,3B,7.3913713,2100,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,1.022222201,27318-70572,Ty Kelly,2B,6.992511,2000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,1.1875,27318-13350,Matt den Dekker,OF,7.925953,2000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,12.70476229,27318-12970,A.J. Pollock,OF,11.778945,3700,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,10.79900024,27318-13239,Eduardo Escobar,3B,13.800225,3400,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,8.690384498,27318-21853,Ketel Marte,2B,8.885325,3200,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,8.939604202,27318-21612,Nick Ahmed,SS,11.7627,3000,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,7.918181447999999,27318-38249,Steven Souza Jr.,OF,10.73287,2700,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,7.939393938999999,27318-12660,Daniel Descalso,2B,12.889558,2600,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,8.972549139,27318-11989,Jon Jay,OF,10.041027,2600,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5.634831461,27318-13501,Chris Owings,OF,9.1423,2400,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3.48333327,27318-80852,Ildemaro Vargas,2B,8.200634,2000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3.25,27318-13302,Kristopher Negron,OF,9.6511965,2000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.587499976,27318-21815,Socrates Brito,OF,6.849613,2000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,9.967618815,27318-5456,Andrew McCutchen,OF,9.927128,3500,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,8.947115385,27318-12961,Brandon Crawford,SS,8.754335,2900,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,8.708219345,27318-5607,Evan Longoria,3B,9.148836,2800,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,7.696808511,27318-12993,Gorkys Hernandez,OF,8.407322,2700,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,8.225000109,27318-38938,Mac Williamson,OF,8.261378,2400,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
